weaponid,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail
10001,13,Unknown,,,,,,,,,,,,,,,
10002,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive
10003,8,Incendiary,,,,,,,,,,,,,,,Incendiary
10004,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Several gunshots were fired.
10005,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm
10006,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,
10007,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb consisting of gasoline
10008,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Poured gasoline on the floor and lit it with a match
10009,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail
10010,5,Firearms,4,Rifle/Shotgun (non-automatic),5,Firearms,3,Handgun,,,,,,,,,Rifle - carbine; Pistols
10011,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb
10012,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Fire set in back of store
10013,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Crudely made pipe bomb.  Five inches long and a half inch thick filled with gunpowder that was connected to a fuse.
10014,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Bomb
10015,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb thrown through window
10016,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearms
10017,8,Incendiary,18,Arson/Fire,5,Firearms,5,Unknown Gun Type,,,,,,,,,Gasoline was placed on the steps of the building and set on fire.  Between 10-30 shots were fired.
10018,6,Explosives,15,Vehicle,,,,,,,,,,,,,Explosive
10019,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite thrown at foundation of home
10020,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,
10021,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Nine thirty-caliber cartridges from a carbine and eleven nine-millimeter shells
